"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
120,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",79,"Tengréla",120,"Kanakono","",NA,"","Sous-préfecture","Sub-prefecture"
121,57,"CIV","Côte d'Ivoire",10,"Savanes",23,"Bagoué",79,"Tengréla",121,"Tengréla","",NA,"","Sous-préfecture","Sub-prefecture"
122,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",80,"Dikodougou",122,"Dikodougou","",NA,"","Sous-préfecture","Sub-prefecture"
123,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",80,"Dikodougou",123,"Guiembe","",NA,"","Sous-préfecture","Sub-prefecture"
124,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",124,"Karakoro","",NA,"","Sous-préfecture","Sub-prefecture"
125,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",125,"Komborodougou","",NA,"","Sous-préfecture","Sub-prefecture"
126,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",126,"Korhogo","",NA,"","Sous-préfecture","Sub-prefecture"
127,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",127,"Napieoledougou","",NA,"","Sous-préfecture","Sub-prefecture"
128,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",128,"Niofoin","",NA,"","Sous-préfecture","Sub-prefecture"
129,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",129,"Sirasso","",NA,"","Sous-préfecture","Sub-prefecture"
130,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",81,"Korhogo",130,"Tioroniaradougou","",NA,"","Sous-préfecture","Sub-prefecture"
131,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",82,"M'bengue",131,"M'bengue","",NA,"","Sous-préfecture","Sub-prefecture"
132,57,"CIV","Côte d'Ivoire",10,"Savanes",24,"Poro",83,"Sinematiali",132,"Sinematiali","",NA,"","Sous-préfecture","Sub-prefecture"
133,57,"CIV","Côte d'Ivoire",10,"Savanes",25,"Tchologo",84,"Ferkessedougou",133,"Ferkessedougou","",NA,"","Sous-préfecture","Sub-prefecture"
